,Gender,Organ,Type,Value
LA,Female,Lung,Total Transplanted,33
KY,Female,Lung,Total Transplanted,14
KS,Female,Lung,Total Transplanted,36
IA,Female,Lung,Total Transplanted,4
IN,Female,Lung,Total Transplanted,29
IL,Female,Lung,Total Transplanted,25
HI,Female,Lung,Total Transplanted,4
GA,Female,Lung,Total Transplanted,48
FL,Female,Lung,Total Transplanted,95
DC,Female,Lung,Total Transplanted,16
CT,Female,Lung,Total Transplanted,4
CO,Female,Lung,Total Transplanted,14
CA,Female,Lung,Total Transplanted,135
AR,Female,Lung,Total Transplanted,19
AZ,Female,Lung,Total Transplanted,14
AL,Female,Lung,Total Transplanted,9
WI,Female,All Organs,Population,2882329
WA,Female,All Organs,Population,3455007
VA,Female,All Organs,Population,4163230
UT,Female,All Organs,Population,1419400
TX,Female,All Organs,Population,13112625
TN,Female,All Organs,Population,3305817
SC,Female,All Organs,Population,2424605
PR,Female,All Organs,Population,3725789
PA,Female,All Organs,Population,6532457
OR,Female,All Organs,Population,1970240
OK,Female,All Organs,Population,1926273
OH,Female,All Organs,Population,5905805
NC,Female,All Organs,Population,4998101
NY,Female,All Organs,Population,10081486
NM,Female,All Organs,Population,1051711
NJ,Female,All Organs,Population,4542439
NV,Female,All Organs,Population,1365581
NE,Female,All Organs,Population,933227
MO,Female,All Organs,Population,3072037
MS,Female,All Organs,Population,1534805
MN,Female,All Organs,Population,2707289
MI,Female,All Organs,Population,5031718
MA,Female,All Organs,Population,3425383
MD,Female,All Organs,Population,3033040
LA,Female,All Organs,Population,2349726
KY,Female,All Organs,Population,2223835
KS,Female,All Organs,Population,1449940
IA,Female,All Organs,Population,1550129
IN,Female,All Organs,Population,3319262
IL,Female,All Organs,Population,6552234
HI,Female,All Organs,Population,689588
GA,Female,All Organs,Population,5067522
FL,Female,All Organs,Population,9873430
DC,Female,All Organs,Population,333731
CT,Female,All Organs,Population,1840884
CO,Female,All Organs,Population,2584688
CA,Female,All Organs,Population,19103913
AR,Female,All Organs,Population,1500877
AZ,Female,All Organs,Population,3293392
AL,Female,All Organs,Population,2480289
WI,Male,All Organs,Leading Death Mechanism,1
WA,Male,All Organs,Leading Death Mechanism,2
VA,Male,All Organs,Leading Death Mechanism,1
UT,Male,All Organs,Leading Death Mechanism,2
TX,Male,All Organs,Leading Death Mechanism,2
TN,Male,All Organs,Leading Death Mechanism,1
SC,Male,All Organs,Leading Death Mechanism,1
PR,Male,All Organs,Leading Death Mechanism,2
PA,Male,All Organs,Leading Death Mechanism,1
OR,Male,All Organs,Leading Death Mechanism,3
OK,Male,All Organs,Leading Death Mechanism,2
OH,Male,All Organs,Leading Death Mechanism,1
NC,Male,All Organs,Leading Death Mechanism,1
NY,Male,All Organs,Leading Death Mechanism,1
NM,Male,All Organs,Leading Death Mechanism,1
NJ,Male,All Organs,Leading Death Mechanism,1
NV,Male,All Organs,Leading Death Mechanism,1
NE,Male,All Organs,Leading Death Mechanism,1
MO,Male,All Organs,Leading Death Mechanism,1
MS,Male,All Organs,Leading Death Mechanism,1
MN,Male,All Organs,Leading Death Mechanism,1
MI,Male,All Organs,Leading Death Mechanism,1
MA,Male,All Organs,Leading Death Mechanism,1
MD,Male,All Organs,Leading Death Mechanism,1
LA,Male,All Organs,Leading Death Mechanism,1
KY,Male,All Organs,Leading Death Mechanism,2
KS,Male,All Organs,Leading Death Mechanism,1
IA,Male,All Organs,Leading Death Mechanism,2
IN,Male,All Organs,Leading Death Mechanism,2
IL,Male,All Organs,Leading Death Mechanism,1
HI,Male,All Organs,Leading Death Mechanism,2
GA,Male,All Organs,Leading Death Mechanism,1
FL,Male,All Organs,Leading Death Mechanism,2
DC,Male,All Organs,Leading Death Mechanism,1
CT,Male,All Organs,Leading Death Mechanism,1
CO,Male,All Organs,Leading Death Mechanism,2
CA,Male,All Organs,Leading Death Mechanism,1
AR,Male,All Organs,Leading Death Mechanism,2
AZ,Male,All Organs,Leading Death Mechanism,2
AL,Male,All Organs,Leading Death Mechanism,1
WI,Male,All Organs,Total Donors,112
WA,Male,All Organs,Total Donors,98
VA,Male,All Organs,Total Donors,106
UT,Male,All Organs,Total Donors,48
TX,Male,All Organs,Total Donors,390
TN,Male,All Organs,Total Donors,181
SC,Male,All Organs,Total Donors,58
PR,Male,All Organs,Total Donors,66
PA,Male,All Organs,Total Donors,359
OR,Male,All Organs,Total Donors,44
OK,Male,All Organs,Total Donors,53
OH,Male,All Organs,Total Donors,175
NC,Male,All Organs,Total Donors,164
NY,Male,All Organs,Total Donors,216
NM,Male,All Organs,Total Donors,21
NJ,Male,All Organs,Total Donors,92
NV,Male,All Organs,Total Donors,41
NE,Male,All Organs,Total Donors,22
MO,Male,All Organs,Total Donors,83
MS,Male,All Organs,Total Donors,46
MN,Male,All Organs,Total Donors,90
MI,Male,All Organs,Total Donors,149
MA,Male,All Organs,Total Donors,140
MD,Male,All Organs,Total Donors,84
LA,Male,All Organs,Total Donors,95
KY,Male,All Organs,Total Donors,50
KS,Male,All Organs,Total Donors,121
IA,Male,All Organs,Total Donors,38
IN,Male,All Organs,Total Donors,94
IL,Male,All Organs,Total Donors,161
HI,Male,All Organs,Total Donors,38
GA,Male,All Organs,Total Donors,146
FL,Male,All Organs,Total Donors,326
DC,Male,All Organs,Total Donors,78
CT,Male,All Organs,Total Donors,29
CO,Male,All Organs,Total Donors,86
CA,Male,All Organs,Total Donors,533
AR,Male,All Organs,Total Donors,41
AZ,Male,All Organs,Total Donors,94
AL,Male,All Organs,Total Donors,52
WI,Male,All Organs,Total Recovered,380
WA,Male,All Organs,Total Recovered,351
VA,Male,All Organs,Total Recovered,348
UT,Male,All Organs,Total Recovered,172
TX,Male,All Organs,Total Recovered,1461
TN,Male,All Organs,Total Recovered,663
SC,Male,All Organs,Total Recovered,219
PR,Male,All Organs,Total Recovered,250
PA,Male,All Organs,Total Recovered,1250
OR,Male,All Organs,Total Recovered,163
OK,Male,All Organs,Total Recovered,208
OH,Male,All Organs,Total Recovered,636
NC,Male,All Organs,Total Recovered,594
NY,Male,All Organs,Total Recovered,685
NM,Male,All Organs,Total Recovered,68
NJ,Male,All Organs,Total Recovered,306
NV,Male,All Organs,Total Recovered,145
NE,Male,All Organs,Total Recovered,82
MO,Male,All Organs,Total Recovered,310
MS,Male,All Organs,Total Recovered,175
MN,Male,All Organs,Total Recovered,326
MI,Male,All Organs,Total Recovered,501
MA,Male,All Organs,Total Recovered,472
MD,Male,All Organs,Total Recovered,326
LA,Male,All Organs,Total Recovered,362
KY,Male,All Organs,Total Recovered,184
KS,Male,All Organs,Total Recovered,423
IA,Male,All Organs,Total Recovered,141
IN,Male,All Organs,Total Recovered,367
IL,Male,All Organs,Total Recovered,548
HI,Male,All Organs,Total Recovered,104
GA,Male,All Organs,Total Recovered,522
FL,Male,All Organs,Total Recovered,1174
DC,Male,All Organs,Total Recovered,262
CT,Male,All Organs,Total Recovered,110
CO,Male,All Organs,Total Recovered,306
CA,Male,All Organs,Total Recovered,1967
AR,Male,All Organs,Total Recovered,147
AZ,Male,All Organs,Total Recovered,349
AL,Male,All Organs,Total Recovered,186
WI,Male,Kidney,Total Recovered,202
WA,Male,Kidney,Total Recovered,190
VA,Male,Kidney,Total Recovered,199
UT,Male,Kidney,Total Recovered,91
TX,Male,Kidney,Total Recovered,709
TN,Male,Kidney,Total Recovered,330
SC,Male,Kidney,Total Recovered,107
PR,Male,Kidney,Total Recovered,119
PA,Male,Kidney,Total Recovered,629
OR,Male,Kidney,Total Recovered,82
OK,Male,Kidney,Total Recovered,105
OH,Male,Kidney,Total Recovered,322
NC,Male,Kidney,Total Recovered,307
NY,Male,Kidney,Total Recovered,368
NM,Male,Kidney,Total Recovered,38
NJ,Male,Kidney,Total Recovered,170
NV,Male,Kidney,Total Recovered,82
NE,Male,Kidney,Total Recovered,42
MO,Male,Kidney,Total Recovered,136
MS,Male,Kidney,Total Recovered,85
MN,Male,Kidney,Total Recovered,163
MI,Male,Kidney,Total Recovered,270
MA,Male,Kidney,Total Recovered,265
MD,Male,Kidney,Total Recovered,159
LA,Male,Kidney,Total Recovered,154
KY,Male,Kidney,Total Recovered,96
KS,Male,Kidney,Total Recovered,219
IA,Male,Kidney,Total Recovered,74
IN,Male,Kidney,Total Recovered,173
IL,Male,Kidney,Total Recovered,289
HI,Male,Kidney,Total Recovered,74
GA,Male,Kidney,Total Recovered,220
FL,Male,Kidney,Total Recovered,586
DC,Male,Kidney,Total Recovered,122
CT,Male,Kidney,Total Recovered,58
CO,Male,Kidney,Total Recovered,162
CA,Male,Kidney,Total Recovered,1018
AR,Male,Kidney,Total Recovered,75
AZ,Male,Kidney,Total Recovered,175
AL,Male,Kidney,Total Recovered,98
WI,Male,Pancreas,Total Recovered,52
WA,Male,Pancreas,Total Recovered,26
VA,Male,Pancreas,Total Recovered,21
UT,Male,Pancreas,Total Recovered,8
TX,Male,Pancreas,Total Recovered,110
TN,Male,Pancreas,Total Recovered,59
SC,Male,Pancreas,Total Recovered,15
PR,Male,Pancreas,Total Recovered,17
PA,Male,Pancreas,Total Recovered,63
OR,Male,Pancreas,Total Recovered,6
OK,Male,Pancreas,Total Recovered,12
OH,Male,Pancreas,Total Recovered,46
NC,Male,Pancreas,Total Recovered,31
NY,Male,Pancreas,Total Recovered,34
NM,Male,Pancreas,Total Recovered,1
NJ,Male,Pancreas,Total Recovered,15
NV,Male,Pancreas,Total Recovered,9
NE,Male,Pancreas,Total Recovered,6
MO,Male,Pancreas,Total Recovered,13
MS,Male,Pancreas,Total Recovered,7
MN,Male,Pancreas,Total Recovered,20
MI,Male,Pancreas,Total Recovered,24
MA,Male,Pancreas,Total Recovered,30
MD,Male,Pancreas,Total Recovered,26
LA,Male,Pancreas,Total Recovered,28
KY,Male,Pancreas,Total Recovered,9
KS,Male,Pancreas,Total Recovered,29
IA,Male,Pancreas,Total Recovered,10
IN,Male,Pancreas,Total Recovered,32
IL,Male,Pancreas,Total Recovered,50
HI,Male,Pancreas,Total Recovered,7
GA,Male,Pancreas,Total Recovered,29
FL,Male,Pancreas,Total Recovered,68
DC,Male,Pancreas,Total Recovered,17
CT,Male,Pancreas,Total Recovered,10
CO,Male,Pancreas,Total Recovered,19
CA,Male,Pancreas,Total Recovered,98
AR,Male,Pancreas,Total Recovered,6
AZ,Male,Pancreas,Total Recovered,18
AL,Male,Pancreas,Total Recovered,14
WI,Male,Liver,Total Recovered,90
WA,Male,Liver,Total Recovered,75
VA,Male,Liver,Total Recovered,87
UT,Male,Liver,Total Recovered,34
TX,Male,Liver,Total Recovered,298
TN,Male,Liver,Total Recovered,155
SC,Male,Liver,Total Recovered,52
PR,Male,Liver,Total Recovered,57
PA,Male,Liver,Total Recovered,315
OR,Male,Liver,Total Recovered,37
OK,Male,Liver,Total Recovered,42
OH,Male,Liver,Total Recovered,149
NC,Male,Liver,Total Recovered,121
NY,Male,Liver,Total Recovered,175
NM,Male,Liver,Total Recovered,17
NJ,Male,Liver,Total Recovered,63
NV,Male,Liver,Total Recovered,33
NE,Male,Liver,Total Recovered,21
MO,Male,Liver,Total Recovered,70
MS,Male,Liver,Total Recovered,43
MN,Male,Liver,Total Recovered,77
MI,Male,Liver,Total Recovered,103
MA,Male,Liver,Total Recovered,104
MD,Male,Liver,Total Recovered,69
LA,Male,Liver,Total Recovered,92
KY,Male,Liver,Total Recovered,44
KS,Male,Liver,Total Recovered,84
IA,Male,Liver,Total Recovered,28
IN,Male,Liver,Total Recovered,84
IL,Male,Liver,Total Recovered,114
HI,Male,Liver,Total Recovered,23
GA,Male,Liver,Total Recovered,131
FL,Male,Liver,Total Recovered,289
DC,Male,Liver,Total Recovered,68
CT,Male,Liver,Total Recovered,24
CO,Male,Liver,Total Recovered,67
CA,Male,Liver,Total Recovered,411
AR,Male,Liver,Total Recovered,36
AZ,Male,Liver,Total Recovered,80
AL,Male,Liver,Total Recovered,45
WI,Male,Intestine,Total Recovered,1
WA,Male,Intestine,Total Recovered,0
VA,Male,Intestine,Total Recovered,0
UT,Male,Intestine,Total Recovered,1
TX,Male,Intestine,Total Recovered,3
TN,Male,Intestine,Total Recovered,3
SC,Male,Intestine,Total Recovered,0
PR,Male,Intestine,Total Recovered,0
PA,Male,Intestine,Total Recovered,2
OR,Male,Intestine,Total Recovered,0
OK,Male,Intestine,Total Recovered,2
OH,Male,Intestine,Total Recovered,1
NC,Male,Intestine,Total Recovered,1
NY,Male,Intestine,Total Recovered,3
NM,Male,Intestine,Total Recovered,0
NJ,Male,Intestine,Total Recovered,0
NV,Male,Intestine,Total Recovered,3
NE,Male,Intestine,Total Recovered,0
MO,Male,Intestine,Total Recovered,1
MS,Male,Intestine,Total Recovered,1
MN,Male,Intestine,Total Recovered,2
MI,Male,Intestine,Total Recovered,3
MA,Male,Intestine,Total Recovered,3
MD,Male,Intestine,Total Recovered,0
LA,Male,Intestine,Total Recovered,2
KY,Male,Intestine,Total Recovered,0
KS,Male,Intestine,Total Recovered,1
IA,Male,Intestine,Total Recovered,2
IN,Male,Intestine,Total Recovered,10
IL,Male,Intestine,Total Recovered,4
HI,Male,Intestine,Total Recovered,0
GA,Male,Intestine,Total Recovered,2
FL,Male,Intestine,Total Recovered,11
DC,Male,Intestine,Total Recovered,0
CT,Male,Intestine,Total Recovered,0
CO,Male,Intestine,Total Recovered,1
CA,Male,Intestine,Total Recovered,3
AR,Male,Intestine,Total Recovered,0
AZ,Male,Intestine,Total Recovered,0
AL,Male,Intestine,Total Recovered,0
WI,Male,Heart,Total Recovered,35
WA,Male,Heart,Total Recovered,37
VA,Male,Heart,Total Recovered,24
UT,Male,Heart,Total Recovered,22
TX,Male,Heart,Total Recovered,171
TN,Male,Heart,Total Recovered,66
SC,Male,Heart,Total Recovered,22
PR,Male,Heart,Total Recovered,22
PA,Male,Heart,Total Recovered,104
OR,Male,Heart,Total Recovered,17
OK,Male,Heart,Total Recovered,19
OH,Male,Heart,Total Recovered,65
NC,Male,Heart,Total Recovered,52
NY,Male,Heart,Total Recovered,72
NM,Male,Heart,Total Recovered,4
NJ,Male,Heart,Total Recovered,28
NV,Male,Heart,Total Recovered,10
NE,Male,Heart,Total Recovered,5
MO,Male,Heart,Total Recovered,27
MS,Male,Heart,Total Recovered,17
MN,Male,Heart,Total Recovered,31
MI,Male,Heart,Total Recovered,52
MA,Male,Heart,Total Recovered,36
MD,Male,Heart,Total Recovered,27
LA,Male,Heart,Total Recovered,31
KY,Male,Heart,Total Recovered,15
KS,Male,Heart,Total Recovered,38
IA,Male,Heart,Total Recovered,13
IN,Male,Heart,Total Recovered,38
IL,Male,Heart,Total Recovered,45
HI,Male,Heart,Total Recovered,0
GA,Male,Heart,Total Recovered,66
FL,Male,Heart,Total Recovered,114
DC,Male,Heart,Total Recovered,19
CT,Male,Heart,Total Recovered,12
CO,Male,Heart,Total Recovered,33
CA,Male,Heart,Total Recovered,189
AR,Male,Heart,Total Recovered,17
AZ,Male,Heart,Total Recovered,34
AL,Male,Heart,Total Recovered,14
WI,Male,Lung,Total Recovered,22
WA,Male,Lung,Total Recovered,34
VA,Male,Lung,Total Recovered,28
UT,Male,Lung,Total Recovered,18
TX,Male,Lung,Total Recovered,201
TN,Male,Lung,Total Recovered,73
SC,Male,Lung,Total Recovered,31
PR,Male,Lung,Total Recovered,36
PA,Male,Lung,Total Recovered,137
OR,Male,Lung,Total Recovered,21
OK,Male,Lung,Total Recovered,28
OH,Male,Lung,Total Recovered,53
NC,Male,Lung,Total Recovered,82
NY,Male,Lung,Total Recovered,33
NM,Male,Lung,Total Recovered,8
NJ,Male,Lung,Total Recovered,30
NV,Male,Lung,Total Recovered,8
NE,Male,Lung,Total Recovered,8
MO,Male,Lung,Total Recovered,63
MS,Male,Lung,Total Recovered,22
MN,Male,Lung,Total Recovered,33
MI,Male,Lung,Total Recovered,49
MA,Male,Lung,Total Recovered,34
MD,Male,Lung,Total Recovered,45
LA,Male,Lung,Total Recovered,55
KY,Male,Lung,Total Recovered,20
KS,Male,Lung,Total Recovered,52
IA,Male,Lung,Total Recovered,14
IN,Male,Lung,Total Recovered,30
IL,Male,Lung,Total Recovered,46
HI,Male,Lung,Total Recovered,0
GA,Male,Lung,Total Recovered,74
FL,Male,Lung,Total Recovered,106
DC,Male,Lung,Total Recovered,36
CT,Male,Lung,Total Recovered,6
CO,Male,Lung,Total Recovered,24
CA,Male,Lung,Total Recovered,248
AR,Male,Lung,Total Recovered,13
AZ,Male,Lung,Total Recovered,42
AL,Male,Lung,Total Recovered,15
WI,Male,All Organs,Total Transplanted,324
WA,Male,All Organs,Total Transplanted,288
VA,Male,All Organs,Total Transplanted,286
UT,Male,All Organs,Total Transplanted,159
TX,Male,All Organs,Total Transplanted,1304
TN,Male,All Organs,Total Transplanted,549
SC,Male,All Organs,Total Transplanted,199
PR,Male,All Organs,Total Transplanted,206
PA,Male,All Organs,Total Transplanted,942
OR,Male,All Organs,Total Transplanted,149
OK,Male,All Organs,Total Transplanted,196
OH,Male,All Organs,Total Transplanted,567
NC,Male,All Organs,Total Transplanted,491
NY,Male,All Organs,Total Transplanted,604
NM,Male,All Organs,Total Transplanted,55
NJ,Male,All Organs,Total Transplanted,267
NV,Male,All Organs,Total Transplanted,123
NE,Male,All Organs,Total Transplanted,78
MO,Male,All Organs,Total Transplanted,280
MS,Male,All Organs,Total Transplanted,159
MN,Male,All Organs,Total Transplanted,272
MI,Male,All Organs,Total Transplanted,432
MA,Male,All Organs,Total Transplanted,414
MD,Male,All Organs,Total Transplanted,265
LA,Male,All Organs,Total Transplanted,340
KY,Male,All Organs,Total Transplanted,158
KS,Male,All Organs,Total Transplanted,368
IA,Male,All Organs,Total Transplanted,124
IN,Male,All Organs,Total Transplanted,317
IL,Male,All Organs,Total Transplanted,487
HI,Male,All Organs,Total Transplanted,79
GA,Male,All Organs,Total Transplanted,479
FL,Male,All Organs,Total Transplanted,1077
DC,Male,All Organs,Total Transplanted,227
CT,Male,All Organs,Total Transplanted,99
CO,Male,All Organs,Total Transplanted,263
CA,Male,All Organs,Total Transplanted,1778
AR,Male,All Organs,Total Transplanted,126
AZ,Male,All Organs,Total Transplanted,308
AL,Male,All Organs,Total Transplanted,162
WI,Male,Kidney,Total Transplanted,169
WA,Male,Kidney,Total Transplanted,162
VA,Male,Kidney,Total Transplanted,154
UT,Male,Kidney,Total Transplanted,81
TX,Male,Kidney,Total Transplanted,591
TN,Male,Kidney,Total Transplanted,240
SC,Male,Kidney,Total Transplanted,97
PR,Male,Kidney,Total Transplanted,87
PA,Male,Kidney,Total Transplanted,476
OR,Male,Kidney,Total Transplanted,74
OK,Male,Kidney,Total Transplanted,99
OH,Male,Kidney,Total Transplanted,271
NC,Male,Kidney,Total Transplanted,242
NY,Male,Kidney,Total Transplanted,309
NM,Male,Kidney,Total Transplanted,27
NJ,Male,Kidney,Total Transplanted,145
NV,Male,Kidney,Total Transplanted,67
NE,Male,Kidney,Total Transplanted,40
MO,Male,Kidney,Total Transplanted,114
MS,Male,Kidney,Total Transplanted,75
MN,Male,Kidney,Total Transplanted,123
MI,Male,Kidney,Total Transplanted,215
MA,Male,Kidney,Total Transplanted,232
MD,Male,Kidney,Total Transplanted,118
LA,Male,Kidney,Total Transplanted,135
KY,Male,Kidney,Total Transplanted,76
KS,Male,Kidney,Total Transplanted,181
IA,Male,Kidney,Total Transplanted,62
IN,Male,Kidney,Total Transplanted,146
IL,Male,Kidney,Total Transplanted,248
HI,Male,Kidney,Total Transplanted,59
GA,Male,Kidney,Total Transplanted,191
FL,Male,Kidney,Total Transplanted,523
DC,Male,Kidney,Total Transplanted,106
CT,Male,Kidney,Total Transplanted,54
CO,Male,Kidney,Total Transplanted,142
CA,Male,Kidney,Total Transplanted,879
AR,Male,Kidney,Total Transplanted,62
AZ,Male,Kidney,Total Transplanted,149
AL,Male,Kidney,Total Transplanted,78
WI,Male,Pancreas,Total Transplanted,23
WA,Male,Pancreas,Total Transplanted,9
VA,Male,Pancreas,Total Transplanted,9
UT,Male,Pancreas,Total Transplanted,6
TX,Male,Pancreas,Total Transplanted,65
TN,Male,Pancreas,Total Transplanted,27
SC,Male,Pancreas,Total Transplanted,6
PR,Male,Pancreas,Total Transplanted,14
PA,Male,Pancreas,Total Transplanted,37
OR,Male,Pancreas,Total Transplanted,6
OK,Male,Pancreas,Total Transplanted,8
OH,Male,Pancreas,Total Transplanted,39
NC,Male,Pancreas,Total Transplanted,19
NY,Male,Pancreas,Total Transplanted,24
NM,Male,Pancreas,Total Transplanted,0
NJ,Male,Pancreas,Total Transplanted,11
NV,Male,Pancreas,Total Transplanted,5
NE,Male,Pancreas,Total Transplanted,5
MO,Male,Pancreas,Total Transplanted,10
MS,Male,Pancreas,Total Transplanted,4
MN,Male,Pancreas,Total Transplanted,12
MI,Male,Pancreas,Total Transplanted,23
MA,Male,Pancreas,Total Transplanted,18
MD,Male,Pancreas,Total Transplanted,17
LA,Male,Pancreas,Total Transplanted,27
KY,Male,Pancreas,Total Transplanted,6
KS,Male,Pancreas,Total Transplanted,21
IA,Male,Pancreas,Total Transplanted,9
IN,Male,Pancreas,Total Transplanted,21
IL,Male,Pancreas,Total Transplanted,34
HI,Male,Pancreas,Total Transplanted,5
GA,Male,Pancreas,Total Transplanted,26
FL,Male,Pancreas,Total Transplanted,54
DC,Male,Pancreas,Total Transplanted,11
CT,Male,Pancreas,Total Transplanted,6
CO,Male,Pancreas,Total Transplanted,17
CA,Male,Pancreas,Total Transplanted,80
AR,Male,Pancreas,Total Transplanted,4
AZ,Male,Pancreas,Total Transplanted,13
AL,Male,Pancreas,Total Transplanted,12
WI,Male,Liver,Total Transplanted,74
WA,Male,Liver,Total Transplanted,49
VA,Male,Liver,Total Transplanted,71
UT,Male,Liver,Total Transplanted,31
TX,Male,Liver,Total Transplanted,275
TN,Male,Liver,Total Transplanted,143
SC,Male,Liver,Total Transplanted,47
PR,Male,Liver,Total Transplanted,56
PA,Male,Liver,Total Transplanted,243
OR,Male,Liver,Total Transplanted,31
OK,Male,Liver,Total Transplanted,41
OH,Male,Liver,Total Transplanted,141
NC,Male,Liver,Total Transplanted,109
NY,Male,Liver,Total Transplanted,167
NM,Male,Liver,Total Transplanted,17
NJ,Male,Liver,Total Transplanted,57
NV,Male,Liver,Total Transplanted,30
NE,Male,Liver,Total Transplanted,20
MO,Male,Liver,Total Transplanted,65
MS,Male,Liver,Total Transplanted,40
MN,Male,Liver,Total Transplanted,71
MI,Male,Liver,Total Transplanted,93
MA,Male,Liver,Total Transplanted,92
MD,Male,Liver,Total Transplanted,60
LA,Male,Liver,Total Transplanted,90
KY,Male,Liver,Total Transplanted,42
KS,Male,Liver,Total Transplanted,78
IA,Male,Liver,Total Transplanted,24
IN,Male,Liver,Total Transplanted,74
IL,Male,Liver,Total Transplanted,111
HI,Male,Liver,Total Transplanted,15
GA,Male,Liver,Total Transplanted,123
FL,Male,Liver,Total Transplanted,277
DC,Male,Liver,Total Transplanted,57
CT,Male,Liver,Total Transplanted,21
CO,Male,Liver,Total Transplanted,51
CA,Male,Liver,Total Transplanted,381
AR,Male,Liver,Total Transplanted,30
AZ,Male,Liver,Total Transplanted,72
AL,Male,Liver,Total Transplanted,43
WI,Male,Intestine,Total Transplanted,1
WA,Male,Intestine,Total Transplanted,0
VA,Male,Intestine,Total Transplanted,0
UT,Male,Intestine,Total Transplanted,1
TX,Male,Intestine,Total Transplanted,2
TN,Male,Intestine,Total Transplanted,3
SC,Male,Intestine,Total Transplanted,0
PR,Male,Intestine,Total Transplanted,0
PA,Male,Intestine,Total Transplanted,2
OR,Male,Intestine,Total Transplanted,0
OK,Male,Intestine,Total Transplanted,2
OH,Male,Intestine,Total Transplanted,1
NC,Male,Intestine,Total Transplanted,1
NY,Male,Intestine,Total Transplanted,3
NM,Male,Intestine,Total Transplanted,0
NJ,Male,Intestine,Total Transplanted,0
NV,Male,Intestine,Total Transplanted,3
NE,Male,Intestine,Total Transplanted,0
MO,Male,Intestine,Total Transplanted,1
MS,Male,Intestine,Total Transplanted,1
MN,Male,Intestine,Total Transplanted,2
MI,Male,Intestine,Total Transplanted,3
MA,Male,Intestine,Total Transplanted,3
MD,Male,Intestine,Total Transplanted,0
LA,Male,Intestine,Total Transplanted,2
KY,Male,Intestine,Total Transplanted,0
KS,Male,Intestine,Total Transplanted,1
IA,Male,Intestine,Total Transplanted,2
IN,Male,Intestine,Total Transplanted,8
IL,Male,Intestine,Total Transplanted,3
HI,Male,Intestine,Total Transplanted,0
GA,Male,Intestine,Total Transplanted,2
FL,Male,Intestine,Total Transplanted,9
DC,Male,Intestine,Total Transplanted,0
CT,Male,Intestine,Total Transplanted,0
CO,Male,Intestine,Total Transplanted,1
CA,Male,Intestine,Total Transplanted,3
AR,Male,Intestine,Total Transplanted,0
AZ,Male,Intestine,Total Transplanted,0
AL,Male,Intestine,Total Transplanted,0
WI,Male,Heart,Total Transplanted,35
WA,Male,Heart,Total Transplanted,36
VA,Male,Heart,Total Transplanted,24
UT,Male,Heart,Total Transplanted,22
TX,Male,Heart,Total Transplanted,170
TN,Male,Heart,Total Transplanted,66
SC,Male,Heart,Total Transplanted,22
PR,Male,Heart,Total Transplanted,22
PA,Male,Heart,Total Transplanted,97
OR,Male,Heart,Total Transplanted,17
OK,Male,Heart,Total Transplanted,19
OH,Male,Heart,Total Transplanted,65
NC,Male,Heart,Total Transplanted,51
NY,Male,Heart,Total Transplanted,72
NM,Male,Heart,Total Transplanted,4
NJ,Male,Heart,Total Transplanted,28
NV,Male,Heart,Total Transplanted,10
NE,Male,Heart,Total Transplanted,5
MO,Male,Heart,Total Transplanted,27
MS,Male,Heart,Total Transplanted,17
MN,Male,Heart,Total Transplanted,31
MI,Male,Heart,Total Transplanted,51
MA,Male,Heart,Total Transplanted,35
MD,Male,Heart,Total Transplanted,27
LA,Male,Heart,Total Transplanted,31
KY,Male,Heart,Total Transplanted,15
KS,Male,Heart,Total Transplanted,38
IA,Male,Heart,Total Transplanted,13
IN,Male,Heart,Total Transplanted,38
IL,Male,Heart,Total Transplanted,45
HI,Male,Heart,Total Transplanted,0
GA,Male,Heart,Total Transplanted,66
FL,Male,Heart,Total Transplanted,113
DC,Male,Heart,Total Transplanted,17
CT,Male,Heart,Total Transplanted,12
CO,Male,Heart,Total Transplanted,32
CA,Male,Heart,Total Transplanted,189
AR,Male,Heart,Total Transplanted,17
AZ,Male,Heart,Total Transplanted,34
AL,Male,Heart,Total Transplanted,14
WI,Male,Lung,Total Transplanted,22
WA,Male,Lung,Total Transplanted,32
VA,Male,Lung,Total Transplanted,28
UT,Male,Lung,Total Transplanted,18
TX,Male,Lung,Total Transplanted,201
TN,Male,Lung,Total Transplanted,70
SC,Male,Lung,Total Transplanted,27
PR,Male,Lung,Total Transplanted,27
PA,Male,Lung,Total Transplanted,87
OR,Male,Lung,Total Transplanted,21
OK,Male,Lung,Total Transplanted,27
OH,Male,Lung,Total Transplanted,50
NC,Male,Lung,Total Transplanted,69
NY,Male,Lung,Total Transplanted,29
NM,Male,Lung,Total Transplanted,7
NJ,Male,Lung,Total Transplanted,26
NV,Male,Lung,Total Transplanted,8
NE,Male,Lung,Total Transplanted,8
MO,Male,Lung,Total Transplanted,63
MS,Male,Lung,Total Transplanted,22
MN,Male,Lung,Total Transplanted,33
MI,Male,Lung,Total Transplanted,47
MA,Male,Lung,Total Transplanted,34
MD,Male,Lung,Total Transplanted,43
LA,Male,Lung,Total Transplanted,55
KY,Male,Lung,Total Transplanted,19
KS,Male,Lung,Total Transplanted,49
IA,Male,Lung,Total Transplanted,14
IN,Male,Lung,Total Transplanted,30
IL,Male,Lung,Total Transplanted,46
HI,Male,Lung,Total Transplanted,0
GA,Male,Lung,Total Transplanted,71
FL,Male,Lung,Total Transplanted,101
